Entity ID,Entity Type,Entity Name
625,Federal Agency,U.S. Special Operations Command
626,Federal Agency,U.S. Strategic Command
627,Federal Agency,U.S. Trade Representative
628,Federal Agency,U.S. Trade and Development Agency
629,Federal Agency,U.S. Transportation Command
630,Federal Agency,U.S. Trustee Program
631,Federal Agency,US-CERT (US CERT)
632,Federal Agency,USAGov
633,Federal Agency,Unified Combatant Commands
634,Federal Agency,Uniformed Services University of the Health Sciences
635,Federal Agency,United States Mint
636,Federal Agency,Utah
637,Federal Agency,Vermont
638,Federal Agency,Veterans Affairs Department (VA)
639,Federal Agency,Veterans Benefits Administration (VBA)
640,Federal Agency,Veterans Day National Committee
641,Federal Agency,Veterans Health Administration (VHA)
642,Federal Agency,Veterans' Employment and Training Service (VETS)
643,Federal Agency,Vietnam Education Foundation
644,Federal Agency,Virginia
645,Federal Agency,Voice of America (VOA)
646,Federal Agency,Washington
647,Federal Agency,Washington Headquarters Services
648,Federal Agency,Weather Service
649,Federal Agency,Weights and Measures Division
650,Federal Agency,West Point Military Academy
651,Federal Agency,West Virginia
652,Federal Agency,Western Area Power Administration
653,Federal Agency,White House
654,Federal Agency,White House Office of Administration
655,Federal Agency,Wireless Telecommunications Bureau
656,Federal Agency,Wisconsin
657,Federal Agency,Women's Bureau
658,Federal Agency,Woodrow Wilson International Center for Scholars
659,Federal Agency,Wyoming
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
